Depth(mm),Width(mm),Flange thickness(mm),Web thickness(mm),Insulation thickness(mm),Insulation conductivity(W/m*K)
406.0,178.0,16.0,9.7,25.6,0.2
406.0,178.0,16.0,9.7,2.6,0.02
457.0,152.0,10.9,7.6,121.8,0.2
457.0,152.0,10.9,7.6,12.2,0.02
457.0,152.0,10.9,7.6,37.8,0.2
457.0,152.0,10.9,7.6,3.8,0.02
457.0,152.0,13.3,8.0,102.4,0.2
457.0,152.0,13.3,8.0,10.2,0.02
457.0,152.0,13.3,8.0,32.1,0.2
457.0,152.0,13.3,8.0,3.2,0.02
457.0,152.0,15.0,9.1,88.6,0.2
457.0,152.0,15.0,9.1,8.9,0.02
457.0,152.0,15.0,9.1,28.0,0.2
457.0,152.0,15.0,9.1,2.8,0.02
457.0,152.0,17.0,9.9,72.4,0.2
457.0,152.0,17.0,9.9,7.2,0.02
457.0,152.0,17.0,9.9,23.2,0.2
457.0,152.0,17.0,9.9,2.3,0.02
457.0,152.0,18.9,10.7,57.0,0.2
457.0,152.0,18.9,10.7,5.7,0.02
457.0,152.0,18.9,10.7,18.6,0.2
457.0,152.0,18.9,10.7,1.9,0.02
457.0,191.0,12.7,8.5,107.2,0.2
457.0,191.0,12.7,8.5,10.7,0.02
457.0,191.0,12.7,8.5,33.5,0.2
457.0,191.0,12.7,8.5,3.4,0.02
457.0,191.0,14.5,9.1,92.7,0.2
457.0,191.0,14.5,9.1,9.3,0.02
457.0,191.0,14.5,9.1,29.2,0.2
457.0,191.0,14.5,9.1,2.9,0.02
457.0,191.0,16.0,9.9,80.5,0.2
457.0,191.0,16.0,9.9,8.1,0.02
457.0,191.0,16.0,9.9,25.6,0.2
457.0,191.0,16.0,9.9,2.6,0.02
457.0,191.0,17.7,10.6,66.7,0.2
457.0,191.0,17.7,10.6,6.7,0.02
457.0,191.0,17.7,10.6,21.5,0.2
457.0,191.0,17.7,10.6,2.2,0.02
457.0,191.0,19.6,11.4,51.3,0.2
457.0,191.0,19.6,11.4,5.1,0.02
457.0,191.0,19.6,11.4,17.0,0.2
457.0,191.0,19.6,11.4,1.7,0.02
433.0,210.0,13.2,9.6,103.2,0.2
433.0,210.0,13.2,9.6,10.3,0.02
433.0,210.0,13.2,9.6,32.3,0.2
433.0,210.0,13.2,9.6,3.2,0.02
433.0,210.0,15.6,10.2,83.7,0.2
433.0,210.0,15.6,10.2,8.4,0.02
433.0,210.0,15.6,10.2,26.6,0.2
433.0,210.0,15.6,10.2,2.7,0.02
433.0,210.0,17.4,10.9,69.2,0.2
433.0,210.0,17.4,10.9,6.9,0.02
433.0,210.0,17.4,10.9,22.2,0.2
433.0,210.0,17.4,10.9,2.2,0.02
433.0,210.0,18.8,11.6,57.8,0.2
433.0,210.0,18.8,11.6,5.8,0.02
433.0,210.0,18.8,11.6,18.9,0.2
433.0,210.0,18.8,11.6,1.9,0.02
433.0,210.0,21.3,12.8,47.9,0.2
433.0,210.0,21.3,12.8,4.8,0.02
433.0,210.0,21.3,12.8,15.6,0.2
433.0,210.0,21.3,12.8,1.6,0.02
610.0,229.0,14.8,10.6,90.2,0.2
610.0,229.0,14.8,10.6,9.0,0.02
610.0,229.0,14.8,10.6,28.5,0.2
610.0,229.0,14.8,10.6,2.8,0.02
610.0,229.0,17.3,11.2,70.0,0.2
610.0,229.0,17.3,11.2,7.0,0.02
610.0,229.0,17.3,11.2,22.5,0.2
610.0,229.0,17.3,11.2,2.2,0.02
610.0,229.0,19.6,11.9,51.3,0.2
610.0,229.0,19.6,11.9,5.1,0.02
610.0,229.0,19.6,11.9,17.0,0.2
610.0,229.0,19.6,11.9,1.7,0.02
610.0,229.0,22.1,13.1,47.3,0.2
